timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1761247780689,295,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,235,2,2,https://fakestoreapi.com/auth/login,295,0,0
1761247780852,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,898,236,2,2,https://fakestoreapi.com/auth/login,304,0,0
1761247780984,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247781157,307,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,895,235,2,2,https://fakestoreapi.com/auth/login,307,0,0
1761247781276,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,901,241,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247781465,300,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,892,235,2,2,https://fakestoreapi.com/auth/login,300,0,0
1761247781565,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,236,2,2,https://fakestoreapi.com/auth/login,290,0,0
1761247781765,301,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,237,2,2,https://fakestoreapi.com/auth/login,301,0,0
1761247781856,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,899,235,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247782067,302,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,302,0,0
1761247782148,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,235,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247782370,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,236,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247782439,287,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,287,0,0
1761247782674,305,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,901,235,2,2,https://fakestoreapi.com/auth/login,305,0,0
1761247782726,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,901,241,2,2,https://fakestoreapi.com/auth/login,292,0,0
1761247782980,319,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,235,2,2,https://fakestoreapi.com/auth/login,319,0,0
1761247783019,295,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,295,0,0
1761247783300,301,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,301,0,0
1761247783315,295,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,893,235,2,2,https://fakestoreapi.com/auth/login,295,0,0
1761247783610,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,235,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247783602,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,304,0,0
1761247783901,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,236,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247783907,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,906,237,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247784193,283,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,897,235,2,2,https://fakestoreapi.com/auth/login,283,0,0
1761247784207,309,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,309,0,0
1761247784476,289,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,906,235,2,2,https://fakestoreapi.com/auth/login,289,0,0
1761247784517,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,890,236,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247784765,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,900,237,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247784822,302,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,235,2,2,https://fakestoreapi.com/auth/login,302,0,0
1761247785058,305,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,305,0,0
1761247785126,309,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,898,235,2,2,https://fakestoreapi.com/auth/login,309,0,0
1761247785364,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,236,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247785436,300,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,902,237,2,2,https://fakestoreapi.com/auth/login,300,0,0
1761247785653,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,893,235,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247785737,296,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,895,241,2,2,https://fakestoreapi.com/auth/login,296,0,0
1761247785942,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,894,235,2,2,https://fakestoreapi.com/auth/login,290,0,0
1761247786034,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,890,236,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247786233,305,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,902,237,2,2,https://fakestoreapi.com/auth/login,305,0,0
1761247786334,301,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,895,235,2,2,https://fakestoreapi.com/auth/login,301,0,0
1761247786539,296,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,905,241,2,2,https://fakestoreapi.com/auth/login,296,0,0
1761247786635,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,235,2,2,https://fakestoreapi.com/auth/login,304,0,0
1761247786835,284,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,284,0,0
1761247786939,311,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,311,0,0
1761247787120,297,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,893,235,2,2,https://fakestoreapi.com/auth/login,297,0,0
1761247787250,297,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,899,241,2,2,https://fakestoreapi.com/auth/login,297,0,0
1761247787417,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,235,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247787547,306,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,890,236,2,2,https://fakestoreapi.com/auth/login,306,0,0
1761247787709,295,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,900,237,2,2,https://fakestoreapi.com/auth/login,295,0,0
1761247787854,300,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,235,2,2,https://fakestoreapi.com/auth/login,300,0,0
1761247788004,298,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,901,241,2,2,https://fakestoreapi.com/auth/login,298,0,0
1761247788154,301,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,896,235,2,2,https://fakestoreapi.com/auth/login,301,0,0
1761247788303,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,236,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247788455,311,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,900,237,2,2,https://fakestoreapi.com/auth/login,311,0,0
1761247788595,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,891,235,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247788766,302,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,302,0,0
1761247788886,312,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,235,2,2,https://fakestoreapi.com/auth/login,312,0,0
1761247789068,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,890,236,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247789199,288,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,906,237,2,2,https://fakestoreapi.com/auth/login,288,0,0
1761247789369,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,893,235,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247789487,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247789669,308,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,900,235,2,2,https://fakestoreapi.com/auth/login,308,0,0
1761247789790,303,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,303,0,0
1761247789978,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,900,237,2,2,https://fakestoreapi.com/auth/login,304,0,0
1761247790094,293,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,897,235,2,2,https://fakestoreapi.com/auth/login,293,0,0
1761247790283,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247790387,294,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,235,2,2,https://fakestoreapi.com/auth/login,294,0,0
1761247790582,308,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,890,236,2,2,https://fakestoreapi.com/auth/login,308,0,0
1761247790682,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,292,0,0
1761247790897,306,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,235,2,2,https://fakestoreapi.com/auth/login,306,0,0
1761247790974,289,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,907,241,2,2,https://fakestoreapi.com/auth/login,289,0,0
1761247791204,334,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,896,235,2,2,https://fakestoreapi.com/auth/login,334,0,0
1761247791263,298,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,298,0,0
1761247791562,292,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,899,235,2,2,https://fakestoreapi.com/auth/login,292,0,0
1761247791538,316,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,900,237,2,2,https://fakestoreapi.com/auth/login,316,0,0
1761247791855,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,899,241,2,2,https://fakestoreapi.com/auth/login,290,0,0
1761247791855,299,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,898,235,2,2,https://fakestoreapi.com/auth/login,299,0,0
1761247792146,290,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,890,236,2,2,https://fakestoreapi.com/auth/login,290,0,0
1761247792154,305,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,237,2,2,https://fakestoreapi.com/auth/login,305,0,0
1761247792437,295,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,889,235,2,2,https://fakestoreapi.com/auth/login,295,0,0
1761247792459,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,897,241,2,2,https://fakestoreapi.com/auth/login,304,0,0
1761247792732,312,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,904,235,2,2,https://fakestoreapi.com/auth/login,312,0,0
1761247792764,313,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,313,0,0
1761247793045,287,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,898,237,2,2,https://fakestoreapi.com/auth/login,287,0,0
1761247793078,311,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,895,235,2,2,https://fakestoreapi.com/auth/login,311,0,0
1761247793332,297,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,899,241,2,2,https://fakestoreapi.com/auth/login,297,0,0
1761247793390,308,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,898,235,2,2,https://fakestoreapi.com/auth/login,308,0,0
1761247793630,289,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,892,236,2,2,https://fakestoreapi.com/auth/login,289,0,0
1761247793699,306,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,896,237,2,2,https://fakestoreapi.com/auth/login,306,0,0
1761247793921,301,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,895,235,2,2,https://fakestoreapi.com/auth/login,301,0,0
1761247794006,298,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,899,241,2,2,https://fakestoreapi.com/auth/login,298,0,0
1761247794222,291,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,235,2,2,https://fakestoreapi.com/auth/login,291,0,0
1761247794305,305,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,894,236,2,2,https://fakestoreapi.com/auth/login,305,0,0
1761247794514,296,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,237,2,2,https://fakestoreapi.com/auth/login,296,0,0
1761247794611,336,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,895,235,2,2,https://fakestoreapi.com/auth/login,336,0,0
1761247794811,297,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,907,241,2,2,https://fakestoreapi.com/auth/login,297,0,0
1761247794949,304,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,890,235,2,2,https://fakestoreapi.com/auth/login,304,0,0
1761247795107,294,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,896,236,2,2,https://fakestoreapi.com/auth/login,294,0,0
1761247795253,307,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,900,237,2,2,https://fakestoreapi.com/auth/login,307,0,0
1761247795402,294,Tx_FakeStore,201,Created,Grupo de Hilos 1-1,text,true,,891,235,2,2,https://fakestoreapi.com/auth/login,294,0,0
1761247795561,302,Tx_FakeStore,201,Created,Grupo de Hilos 1-2,text,true,,901,241,2,2,https://fakestoreapi.com/auth/login,302,0,0
